attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage
65.54,58.89,84.48,4.44,11,4,2.09,Employee,63.82
92.57,83.53,24.38,9.08,3,2,4.13,Manager,100.0
91.35,92.94,18.53,9.63,10,2,4.41,HR,100.0
75.21,78.88,41.1,7.45,2,4,2.99,Manager,82.47
68.14,59.98,63.96,4.02,4,5,2.15,Employee,51.11
69.49,52.4,69.92,4.81,3,5,2.02,Team Lead,49.27
93.9,94.42,19.17,9.86,6,3,4.21,HR,100.0
52.62,60.61,70.55,4.36,13,4,2.49,Team Lead,69.47
85.29,93.27,26.35,8.73,12,4,4.72,Team Lead,100.0
58.55,58.71,68.47,4.97,1,4,2.41,Team Lead,49.46
69.96,60.37,79.82,5.25,2,2,1.48,Manager,53.27
60.42,63.05,66.14,4.2,14,1,1.94,Manager,77.5
82.76,70.58,51.61,7.22,9,5,3.4,Employee,92.62
89.45,97.41,19.02,8.1,6,5,4.68,Employee,100.0
78.68,78.45,56.01,6.84,11,1,2.72,HR,99.8
95.68,88.2,21.41,9.35,3,5,4.01,Team Lead,100.0
89.92,86.3,12.69,9.49,13,4,4.87,HR,100.0
62.3,43.2,71.11,5.96,4,1,2.45,Team Lead,62.36
98.78,86.58,6.36,9.21,3,3,4.88,HR,100.0
90.79,99.67,20.38,8.71,1,4,4.21,Team Lead,100.0
53.49,54.31,82.18,5.16,4,5,2.37,Manager,48.86
67.39,58.43,82.97,5.03,3,1,1.81,Manager,55.98
95.04,82.13,14.67,8.89,11,5,4.22,Manager,100.0
57.85,63.06,60.72,5.74,4,3,1.12,HR,57.5
81.41,72.18,47.85,7.2,3,4,2.72,Team Lead,80.05
70.44,73.04,47.38,6.66,14,4,3.46,HR,100.0
86.5,81.87,23.09,8.76,14,5,4.38,Employee,100.0
70.74,77.44,44.47,6.29,13,3,3.97,Manager,100.0
95.87,88.79,15.81,8.92,12,5,4.94,Employee,100.0
68.55,45.28,62.54,5.08,7,2,2.1,Employee,64.15
71.29,79.42,36.11,6.7,2,1,2.55,Team Lead,82.67
96.85,92.49,10.24,8.05,14,1,4.9,HR,100.0
66.22,49.23,67.53,5.72,11,3,1.11,HR,67.98
95.65,84.91,0.56,8.98,5,2,4.45,Team Lead,100.0
83.76,68.56,32.18,7.41,13,4,3.9,Employee,100.0
51.07,56.29,79.64,4.36,11,3,1.12,Team Lead,57.13
74.19,69.27,50.45,6.18,9,4,3.38,Employee,87.05
71.48,75.75,38.5,7.95,11,3,3.17,Manager,100.0
78.25,76.99,58.07,7.14,1,3,2.66,Team Lead,76.08
52.55,56.6,86.22,5.32,8,4,1.51,HR,55.07
88.65,95.91,1.49,9.71,6,1,4.66,Manager,100.0
92.72,95.88,11.97,9.92,9,4,4.47,Team Lead,100.0
77.43,73.55,33.41,6.14,4,1,3.74,HR,90.18
68.13,42.21,64.47,4.61,6,3,1.41,Manager,52.88
57.37,52.27,62.73,5.08,7,4,1.86,Manager,58.21
71.82,69.06,33.7,6.28,6,1,3.16,Team Lead,89.14
85.47,80.26,22.18,9.98,14,5,4.78,Manager,100.0
96.02,93.32,19.9,9.67,13,2,4.11,Team Lead,100.0
80.01,73.9,31.48,6.58,14,5,3.41,HR,100.0
80.73,66.37,59.01,6.96,9,3,3.66,Team Lead,93.43
50.14,55.68,66.41,5.76,4,1,1.34,HR,57.5
87.62,95.57,7.48,8.57,10,3,4.34,Manager,100.0
99.28,98.59,22.4,8.38,7,1,4.67,HR,100.0
98.37,80.16,13.62,8.8,13,2,4.9,Employee,100.0
98.26,94.51,9.51,8.17,13,3,4.63,Manager,100.0
76.26,76.18,39.6,7.09,13,5,3.45,Manager,100.0
93.47,95.47,14.19,9.3,12,1,4.48,Employee,100.0
91.38,85.51,7.95,9.07,5,1,4.45,Team Lead,100.0
72.0,69.16,37.2,6.6,12,1,2.95,HR,100.0
86.14,87.69,21.3,8.73,13,5,4.25,Employee,100.0
71.27,68.5,35.55,6.92,10,2,3.97,HR,100.0
91.2,88.65,8.97,8.5,2,5,4.36,Team Lead,100.0
97.03,98.69,24.62,8.09,5,5,4.12,Employee,100.0
63.35,50.51,61.65,5.75,4,2,1.11,Manager,56.94
65.96,43.01,78.86,5.94,4,4,1.99,Team Lead,53.27
56.09,53.34,77.13,4.43,11,3,1.44,Employee,59.92
73.46,73.34,43.14,7.33,8,5,3.5,Manager,91.9
83.44,65.85,51.89,6.71,3,4,3.36,Employee,78.56
66.3,57.23,67.68,4.54,8,3,1.74,Employee,61.59
72.52,77.18,30.22,7.06,6,2,3.28,Manager,94.92
54.38,59.68,87.95,5.36,12,5,2.18,Manager,65.65
94.3,97.82,17.36,8.2,8,4,4.62,Employee,100.0
89.31,99.33,26.25,8.65,3,5,4.67,HR,100.0
68.66,57.69,67.22,4.86,8,2,1.03,Employee,62.48
75.26,72.17,42.66,7.87,4,1,3.58,HR,95.18
69.4,41.08,86.73,5.06,5,4,2.49,Manager,52.05
68.47,43.73,60.77,5.29,13,4,1.5,Team Lead,70.01
86.19,93.51,20.2,9.11,10,5,4.39,Employee,100.0
82.24,73.44,45.46,6.42,11,3,3.39,Manager,98.57
75.95,65.61,49.6,7.26,9,3,3.68,Team Lead,95.44
52.56,52.8,68.37,4.32,5,2,1.64,Team Lead,51.12
90.75,84.61,19.77,9.62,2,1,4.86,Team Lead,100.0
83.52,76.04,31.86,6.84,4,1,2.87,Employee,91.86
74.01,69.81,52.19,6.85,8,5,3.41,Manager,86.32
73.93,67.53,55.13,7.07,6,2,3.01,Employee,86.09
71.89,65.32,45.11,6.01,11,2,2.69,Manager,90.03
93.43,98.18,8.05,8.28,14,2,4.54,HR,100.0
62.22,55.96,82.56,4.49,3,4,1.83,Team Lead,45.43
66.6,40.9,63.15,4.77,9,3,1.49,HR,59.6
97.26,81.11,24.87,8.59,1,5,4.77,Manager,100.0
57.88,62.8,82.5,5.35,3,3,1.09,HR,48.97
80.04,65.04,52.22,7.95,13,3,2.55,Manager,100.0
70.23,74.48,46.59,7.26,9,3,3.36,Manager,95.7
78.59,71.93,53.13,7.09,3,4,3.44,Manager,81.26
50.4,64.95,75.61,4.38,11,1,2.31,Employee,70.37
81.69,75.84,46.4,7.07,11,4,3.47,Team Lead,100.0
74.53,75.92,36.42,7.15,7,3,3.55,Manager,95.64
72.97,71.01,47.57,6.39,2,1,3.14,Employee,79.67
82.7,66.89,30.71,7.96,12,5,3.88,Employee,100.0
61.78,64.73,81.28,5.89,4,3,1.67,Employee,58.38
83.3,71.26,35.17,7.74,12,2,2.89,Manager,100.0
73.8,72.21,59.27,7.6,2,1,3.5,Team Lead,85.75
62.23,61.43,80.2,4.82,11,2,2.33,Team Lead,71.67
61.91,41.97,63.03,4.84,12,1,1.74,Employee,70.35
51.09,40.29,72.69,4.6,3,1,1.27,Employee,43.67
92.59,90.19,21.76,9.0,3,3,4.61,Employee,100.0
61.02,59.72,88.49,5.37,8,4,2.28,Employee,61.74
83.98,74.58,32.64,6.92,12,1,3.81,Team Lead,100.0
63.35,60.51,82.7,5.62,14,4,1.77,Team Lead,74.4
67.63,60.87,62.75,5.29,8,3,1.3,Employee,65.58
88.35,97.14,24.51,8.9,14,4,4.49,Manager,100.0
61.2,45.96,85.46,5.42,3,1,2.12,Manager,53.7
91.29,87.75,29.19,9.83,9,2,4.59,HR,100.0
87.25,91.47,1.4,8.47,9,4,4.77,Team Lead,100.0
79.04,67.66,52.58,6.91,9,4,3.46,Team Lead,91.37
70.82,77.07,54.3,6.24,12,2,2.95,Team Lead,95.93
78.87,74.74,56.31,6.48,3,2,3.84,HR,84.43
84.37,75.13,50.11,6.91,7,1,2.8,Team Lead,94.14
60.14,58.53,64.58,5.19,10,1,2.08,Employee,74.03
75.89,68.05,35.05,7.59,12,5,3.02,HR,99.41
59.7,55.18,77.25,5.16,6,3,2.07,Manager,58.16
77.45,71.04,38.3,7.58,5,2,3.79,Employee,95.83
62.5,55.79,65.43,5.0,14,4,1.85,HR,73.54
91.67,98.28,21.67,8.24,11,2,4.35,Manager,100.0
50.79,40.13,75.74,4.93,5,3,2.41,Manager,50.28
57.56,46.2,67.6,5.28,9,4,1.87,HR,60.49
76.82,77.99,34.33,6.22,11,4,2.61,Team Lead,93.86
97.2,89.95,28.7,9.51,7,1,4.17,Team Lead,100.0
97.47,93.49,0.2,9.26,8,3,4.81,Employee,100.0
61.31,57.35,83.03,5.79,12,5,1.53,HR,66.54
59.19,56.4,68.63,4.68,5,3,1.24,Team Lead,51.6
73.57,70.07,40.39,6.28,11,2,2.72,HR,94.34
75.94,68.16,47.12,7.93,9,3,3.53,Team Lead,99.3
98.71,90.57,11.93,9.42,8,1,4.96,HR,100.0
66.3,51.12,81.91,5.84,7,4,2.28,Employee,62.11
67.65,44.35,77.78,5.98,8,1,1.52,Manager,66.19
61.62,64.06,68.88,5.52,3,5,2.08,Team Lead,54.89
92.0,87.23,3.25,9.75,7,2,4.78,HR,100.0
57.43,61.49,74.23,4.12,9,2,1.17,HR,58.39
67.02,45.5,85.77,4.22,3,5,1.48,HR,37.78
83.44,77.1,30.11,6.64,13,3,3.13,Team Lead,100.0
80.65,69.23,33.6,8.0,14,2,3.13,Team Lead,100.0
94.73,95.43,12.17,9.9,10,5,4.67,HR,100.0
93.64,86.41,16.59,9.04,11,2,4.46,Manager,100.0
62.84,45.78,60.05,5.05,8,4,1.95,HR,60.44
81.35,77.34,38.09,6.78,9,2,3.48,Employee,100.0
70.29,67.05,31.21,6.87,12,4,2.93,HR,96.44
72.03,72.1,39.17,7.86,1,3,2.83,Employee,81.26
82.57,70.16,40.03,7.39,8,3,3.79,Manager,99.59
92.68,94.21,18.37,8.68,12,2,4.82,Employee,100.0
77.81,75.16,41.09,6.02,4,5,3.64,Team Lead,80.06
57.46,40.87,72.53,4.39,7,2,1.15,HR,49.83
78.9,67.43,53.12,6.72,13,4,2.88,Manager,95.31
53.95,56.24,80.77,4.39,2,5,2.09,Team Lead,40.6
70.57,68.09,42.33,6.4,13,4,2.64,HR,92.79
87.69,93.67,23.67,9.43,8,1,4.42,Employee,100.0
84.75,77.24,58.48,6.42,12,2,3.15,Employee,100.0
60.14,41.53,72.87,5.98,9,5,2.34,Employee,62.54
95.79,81.69,3.39,8.33,4,3,4.19,HR,100.0
57.08,54.31,79.5,4.56,1,1,2.41,Employee,49.55
77.96,66.7,44.3,6.21,14,5,3.06,HR,94.98
70.17,73.18,45.88,7.23,4,5,2.52,Manager,77.06
92.32,99.17,1.56,9.99,12,3,4.95,Employee,100.0
89.52,91.98,20.52,8.81,3,1,4.08,Employee,100.0
59.07,43.61,86.63,5.66,14,2,1.28,Employee,69.22
70.63,77.89,52.01,6.34,12,1,3.01,Team Lead,99.4
99.95,88.84,27.41,8.73,4,4,4.53,HR,100.0
79.3,75.78,41.1,7.43,14,2,2.59,Team Lead,100.0
54.14,50.12,68.32,4.32,1,1,1.73,Manager,45.16
84.41,67.04,41.28,7.87,8,3,3.21,Manager,98.36
78.93,75.38,56.96,6.81,9,5,3.51,Team Lead,90.56
59.82,46.55,74.99,5.73,3,3,2.38,Employee,54.47
55.11,64.47,70.93,5.92,5,2,2.43,HR,66.7
73.01,75.8,59.6,6.09,13,5,3.12,Employee,91.11
57.22,40.39,89.77,4.7,11,5,2.31,Manager,55.52
81.87,74.6,46.0,6.16,5,2,2.76,HR,84.21
69.05,47.58,88.51,4.28,5,3,1.36,Employee,46.03
85.87,97.78,3.14,8.83,13,5,4.5,Manager,100.0
76.39,75.69,49.37,6.37,9,5,2.81,Employee,85.83
66.22,43.17,77.24,5.19,4,5,2.33,Team Lead,49.61
65.28,47.88,71.63,4.57,13,4,1.05,HR,62.44
82.22,71.89,37.55,6.74,9,5,2.53,Employee,88.96
92.49,92.07,28.82,9.77,13,4,4.11,Manager,100.0
89.62,92.24,20.37,8.11,6,4,4.04,Manager,100.0
78.32,77.72,55.64,7.9,12,5,3.12,Manager,100.0
83.4,76.76,49.95,7.61,12,2,3.39,Employee,100.0
64.59,57.0,80.21,4.76,2,4,1.35,Employee,43.75
54.07,51.66,89.17,4.27,12,2,1.5,HR,60.03
96.13,99.72,20.72,8.23,7,2,4.93,Manager,100.0
97.71,86.72,26.89,9.37,2,1,4.57,Employee,100.0
70.68,66.89,36.99,8.0,5,2,2.68,Manager,89.74
74.29,68.05,52.85,6.77,9,3,3.27,HR,90.62
64.88,61.71,76.2,5.68,6,4,1.04,Team Lead,57.08
60.28,63.97,80.0,5.88,3,4,1.24,HR,51.89
87.76,91.88,12.71,9.53,4,4,4.2,HR,100.0
93.75,88.31,21.72,8.53,4,4,4.61,Manager,100.0
60.12,61.23,79.0,4.16,8,4,2.04,Team Lead,56.57
51.53,47.7,78.73,5.23,11,4,1.41,HR,58.68
70.01,65.9,42.98,7.92,10,1,3.84,Team Lead,100.0
72.46,65.48,32.65,6.07,4,3,3.72,Manager,82.19
70.72,77.75,59.93,7.77,8,3,3.72,HR,96.47
56.88,58.79,88.81,4.86,6,4,1.55,Employee,50.14
86.61,81.52,6.18,9.39,4,4,4.08,Team Lead,100.0
54.08,63.02,60.69,5.61,9,5,1.33,Team Lead,62.99
60.51,52.86,78.11,5.6,12,2,1.07,Manager,68.73
77.88,67.49,49.67,6.65,13,1,2.57,Team Lead,99.9
69.09,43.56,81.25,4.14,5,2,1.16,Manager,46.58
76.32,69.06,45.91,6.79,14,4,2.7,HR,98.08
90.9,85.6,6.83,9.61,6,2,4.64,Employee,100.0
91.33,93.09,9.84,9.69,4,1,4.22,HR,100.0
85.88,95.31,20.7,9.31,7,3,4.31,HR,100.0
74.22,71.32,36.08,6.7,2,4,3.83,Manager,81.39
53.98,49.56,61.0,5.76,5,1,1.64,Team Lead,61.13
77.94,66.83,57.81,7.18,12,3,2.64,Employee,95.04
61.2,61.4,74.23,5.46,9,1,2.34,HR,73.9
86.33,83.83,10.56,8.68,12,4,4.97,Team Lead,100.0
69.01,54.53,84.44,4.85,8,1,2.35,Employee,66.73
80.4,69.59,59.86,6.21,4,1,2.74,Manager,79.72
59.2,60.27,62.46,5.19,14,2,2.36,Manager,82.17
74.84,72.15,52.05,6.6,8,2,3.48,Employee,92.33
95.77,80.04,9.41,9.85,4,3,4.37,Team Lead,100.0
85.98,82.06,11.77,8.71,6,1,4.0,Manager,100.0
75.16,76.7,44.74,7.18,7,4,3.0,Employee,89.76
57.55,41.14,77.02,5.94,14,1,2.27,Team Lead,78.36
54.92,48.04,86.94,5.4,9,1,1.29,Manager,60.2
53.89,43.1,81.98,4.74,3,2,2.39,Manager,47.64
85.46,96.36,29.12,8.82,13,1,4.75,HR,100.0
77.25,71.72,46.42,6.73,6,5,3.75,Team Lead,85.93
75.67,77.82,47.43,6.7,6,4,3.73,Team Lead,88.88
60.46,60.78,71.96,4.29,2,5,2.06,Manager,44.69
83.6,78.49,39.64,6.19,2,3,3.47,HR,82.8
55.63,47.86,63.79,4.28,13,4,1.36,Employee,61.73
91.14,84.53,14.64,8.28,9,4,4.41,Manager,100.0
71.54,74.57,53.8,7.16,14,3,3.66,HR,100.0
96.81,85.36,2.85,8.42,12,4,4.79,Manager,100.0
90.71,83.26,23.59,9.47,3,3,4.38,Team Lead,100.0
74.41,65.51,52.41,6.38,9,5,3.6,HR,85.69
75.25,79.37,53.49,6.91,1,3,2.64,Team Lead,75.67
99.14,89.31,13.68,9.0,1,3,4.72,Employee,100.0
92.96,93.26,17.71,8.85,8,5,4.2,HR,100.0
95.03,80.51,28.93,9.0,6,4,4.06,Employee,100.0
84.61,70.68,52.57,7.65,7,5,3.75,Employee,92.83
99.2,85.94,7.88,9.41,2,2,4.71,Manager,100.0
98.38,96.81,21.37,8.99,7,2,4.98,HR,100.0
81.33,79.01,57.85,6.94,5,4,3.4,Manager,86.19
92.91,88.56,9.43,8.33,1,1,4.09,Employee,100.0
58.26,46.91,67.72,4.49,6,5,1.55,Team Lead,47.31
91.6,86.69,29.79,9.86,6,3,4.73,Manager,100.0
93.5,87.44,26.77,8.29,14,5,4.56,Employee,100.0
90.66,85.98,11.29,8.67,9,3,4.67,Manager,100.0
62.36,58.27,73.08,5.87,6,4,2.32,Manager,63.37
85.56,83.39,16.63,9.28,12,1,4.1,Manager,100.0
92.25,83.81,0.37,9.35,13,5,4.71,Employee,100.0
81.29,77.76,37.83,7.99,6,5,3.44,HR,95.28
84.91,66.62,43.16,7.83,14,1,2.51,Manager,100.0
80.95,71.76,56.06,6.55,11,5,2.63,HR,88.46
57.78,57.15,69.21,4.42,6,1,2.22,Employee,60.94
76.97,79.82,38.37,7.96,5,3,3.42,Team Lead,96.4
95.33,88.75,9.06,8.07,5,3,4.55,Employee,100.0
80.96,74.92,40.37,7.98,1,4,2.97,Manager,83.4
50.45,44.96,82.42,5.4,8,1,1.6,Manager,58.63
84.46,78.64,39.76,6.77,7,2,3.94,Manager,100.0
73.02,71.7,58.69,7.45,2,2,3.74,HR,83.97
73.78,76.77,43.01,6.4,14,3,3.48,HR,100.0
89.12,91.05,18.45,8.26,4,5,4.25,Team Lead,100.0
67.46,44.27,66.59,4.7,8,2,2.39,Team Lead,64.27
57.35,41.83,70.31,5.87,2,5,1.48,HR,43.58
74.45,76.03,50.58,6.9,2,3,3.6,Team Lead,81.79
77.8,73.7,39.07,6.04,3,1,3.26,Manager,84.24
84.39,68.07,36.09,7.61,8,2,3.66,Team Lead,100.0
84.1,67.8,33.64,7.76,14,2,3.6,Employee,100.0
68.99,56.5,81.61,5.0,14,3,1.43,Employee,71.99
65.46,54.24,68.12,4.81,4,3,1.14,Manager,50.78
69.49,57.23,77.26,4.61,13,5,1.02,Team Lead,63.25
64.97,47.86,85.37,4.87,7,2,1.67,Team Lead,56.27
52.55,64.66,89.43,5.73,14,5,1.14,Team Lead,66.98
60.68,55.17,85.57,5.49,3,2,2.32,Team Lead,55.64
70.44,70.44,54.47,7.63,3,1,3.77,Team Lead,88.85
94.65,93.77,27.78,8.27,12,2,4.03,Team Lead,100.0
57.39,58.76,68.09,4.78,8,3,1.35,Manager,59.01
79.89,65.41,44.62,7.67,10,3,2.6,Employee,96.01
67.59,47.67,66.49,5.96,7,4,1.71,Team Lead,62.24
62.49,47.06,71.34,4.21,14,5,2.08,HR,64.9
63.27,49.43,82.4,4.38,10,4,2.13,Manager,58.7
57.07,58.97,68.28,4.81,1,5,2.2,Team Lead,45.35
94.03,95.79,29.53,9.82,8,3,4.59,Team Lead,100.0
62.15,64.29,69.69,5.91,8,2,1.41,Manager,69.51
76.23,70.0,46.13,6.61,10,1,2.83,HR,96.03
69.05,46.69,87.91,5.95,8,1,1.15,Team Lead,63.19
97.86,82.33,15.97,9.48,12,5,4.68,Team Lead,100.0
80.3,72.7,42.61,7.31,14,2,2.55,Team Lead,100.0
81.88,67.38,50.33,8.0,12,1,2.93,Manager,100.0
89.2,80.2,20.23,8.52,1,4,4.96,Employee,100.0
61.96,41.86,64.36,5.25,1,3,1.02,Team Lead,42.54
54.31,57.5,83.13,4.56,10,4,1.61,Employee,57.07
57.46,56.51,86.45,5.28,5,4,2.06,Manager,52.72
77.01,66.02,36.29,6.02,14,3,3.67,Team Lead,100.0
76.18,66.47,41.46,7.98,3,1,3.33,Manager,91.28
56.59,57.33,82.99,4.61,3,4,2.22,HR,46.88
73.1,67.7,34.35,6.44,2,4,3.33,HR,76.55
58.7,60.45,64.16,5.12,11,3,1.77,Employee,70.41
61.65,40.14,70.69,4.83,9,1,1.22,Employee,59.57
71.16,77.42,48.46,6.33,14,5,3.76,Employee,99.75
73.57,72.32,49.19,7.62,13,4,3.75,Manager,100.0
72.89,77.25,55.42,7.72,13,1,3.82,Employee,100.0
72.71,67.84,51.97,6.48,6,1,3.75,Team Lead,89.26
53.15,59.94,84.87,5.12,6,2,1.44,Manager,55.11
84.33,69.65,49.7,7.94,3,2,3.83,HR,92.87
87.97,80.89,25.3,8.21,5,5,4.26,Employee,100.0
86.34,91.74,14.44,9.4,9,4,4.68,Manager,100.0
73.44,65.86,37.04,7.3,3,3,3.64,Employee,85.41
98.69,91.52,25.19,9.89,14,5,4.89,Employee,100.0
89.23,99.06,22.12,9.89,2,2,4.64,HR,100.0
72.89,76.22,45.55,6.1,9,3,3.1,Manager,89.96
96.79,98.95,10.68,8.5,2,5,4.62,HR,100.0
55.96,46.65,61.5,4.74,9,3,1.95,Team Lead,61.13
97.79,99.59,9.58,9.87,10,1,4.18,HR,100.0
58.1,49.74,66.24,4.47,3,4,2.45,HR,48.79
88.14,99.53,11.38,9.44,13,4,4.5,Team Lead,100.0
66.19,61.57,63.58,5.17,14,3,2.02,HR,80.22
50.24,52.22,79.33,5.84,6,1,1.57,Team Lead,59.4
80.14,72.78,56.46,7.14,5,1,2.69,Team Lead,87.71
70.57,76.53,38.32,7.87,5,5,2.87,Manager,86.66
97.84,87.87,3.03,9.36,14,5,4.74,Team Lead,100.0
53.38,54.24,61.03,4.58,6,5,1.67,Team Lead,50.68
83.15,68.61,44.67,6.14,10,5,3.93,Employee,92.79
54.77,58.87,81.84,4.07,2,3,1.66,Team Lead,41.64
52.53,48.93,78.99,5.36,1,4,1.82,Team Lead,41.9
64.63,50.3,78.63,5.42,4,3,1.01,Manager,49.68
74.56,72.82,33.41,6.7,11,2,3.04,Manager,100.0
52.33,44.23,77.48,5.6,12,4,1.04,Employee,60.06
96.66,96.29,10.84,8.43,11,5,4.21,HR,100.0
94.62,94.5,0.95,8.24,14,4,4.32,Team Lead,100.0
50.52,45.03,60.35,5.26,14,1,1.35,Employee,73.11
67.87,64.53,79.04,5.59,14,1,2.05,HR,84.68
73.71,75.31,47.31,6.88,11,1,2.97,Team Lead,100.0
70.9,70.6,37.98,7.57,14,5,2.82,Manager,100.0
79.62,75.56,41.2,7.13,6,1,3.18,Manager,95.85
90.98,92.63,27.22,8.59,10,1,4.95,Employee,100.0
75.63,70.84,32.71,6.91,14,4,3.51,Employee,100.0
89.36,85.27,29.14,9.9,11,3,4.88,Team Lead,100.0
53.59,48.61,87.3,4.27,4,4,2.28,Employee,43.25
74.84,71.87,32.81,7.13,10,4,2.86,Manager,95.65
94.95,92.07,5.01,9.75,13,4,4.24,HR,100.0
52.03,59.89,60.75,5.29,4,2,1.5,Manager,56.78
59.53,54.17,84.26,5.8,9,1,2.25,HR,70.53
94.4,90.76,19.87,8.23,11,1,4.56,HR,100.0
84.19,72.14,31.16,7.07,13,3,2.95,Manager,100.0
97.36,90.5,21.0,8.58,13,4,4.08,Manager,100.0
93.03,91.47,28.51,8.94,10,3,4.7,Manager,100.0
69.12,56.0,78.47,5.97,1,3,1.53,Employee,51.88
90.42,99.5,0.23,9.87,7,2,4.96,Employee,100.0
75.44,68.11,42.0,6.95,4,4,2.94,HR,80.37
56.71,54.88,74.95,4.4,9,1,2.02,HR,63.75
90.86,82.35,4.38,9.29,2,3,4.34,Manager,100.0
54.73,53.23,64.01,4.59,4,4,1.49,HR,47.25
65.16,52.79,70.05,4.26,9,2,2.01,Team Lead,63.47
89.94,83.88,5.68,9.59,6,2,4.62,Manager,100.0
91.8,92.53,4.93,8.56,3,3,4.95,Team Lead,100.0
57.12,42.94,73.34,5.47,5,2,2.44,HR,58.06
99.42,95.22,8.94,9.1,13,5,4.46,Team Lead,100.0
70.69,67.93,34.09,6.08,8,4,3.96,Manager,89.42
75.63,73.9,37.57,7.79,6,3,2.73,Team Lead,92.17
65.63,61.09,61.13,5.05,2,4,1.37,Manager,50.62
72.13,69.7,55.49,6.18,1,4,3.99,Team Lead,72.67
90.11,94.75,23.24,9.74,10,5,4.23,Team Lead,100.0
63.77,44.71,69.99,4.83,2,1,1.96,Manager,51.29
59.46,62.83,66.17,5.79,8,4,1.86,Manager,66.71
86.77,91.39,11.07,8.46,1,3,4.85,Employee,100.0
71.96,68.45,49.63,6.83,11,5,3.85,Manager,94.01
55.39,58.7,83.59,4.59,2,3,1.34,Team Lead,42.39
75.71,66.28,39.35,7.43,14,5,3.03,Manager,100.0
74.77,73.85,48.76,6.63,13,2,3.47,Manager,100.0
71.95,75.79,52.6,6.93,6,3,3.33,HR,87.52
79.25,73.58,35.6,7.37,12,4,3.06,Employee,100.0
68.61,51.74,77.43,5.85,5,5,1.64,HR,54.63
62.18,48.73,75.23,4.41,1,3,2.15,Team Lead,43.91
85.01,90.3,8.46,9.63,6,3,4.7,HR,100.0
86.52,86.37,9.39,9.71,8,5,4.8,Team Lead,100.0
74.95,70.69,37.18,6.34,9,4,2.66,Employee,87.53
75.95,75.15,38.24,7.06,11,3,3.82,Manager,100.0
64.58,41.28,68.26,4.71,3,1,2.34,Manager,54.12
76.41,76.97,39.98,6.54,4,1,3.76,HR,91.72
81.88,75.22,52.88,6.83,9,3,3.39,Employee,95.58
85.18,87.01,2.75,8.64,4,4,4.63,Manager,100.0
84.07,68.0,50.66,7.14,8,3,3.39,Manager,93.94
50.57,41.58,80.2,4.83,2,4,1.39,Manager,36.19
86.91,90.84,24.65,9.14,14,1,4.81,HR,100.0
63.54,62.89,86.07,4.75,4,3,2.21,HR,54.36
69.88,50.67,79.56,5.13,9,1,2.34,Manager,70.07
65.47,41.3,61.14,4.86,6,4,1.09,HR,50.3
96.83,83.4,9.77,8.23,2,5,4.87,Employee,100.0
98.61,98.11,16.0,8.73,3,1,4.24,HR,100.0
65.9,43.33,83.6,4.93,10,4,1.91,Team Lead,58.96
61.73,62.74,65.65,5.61,8,2,1.2,HR,67.16
73.21,66.41,39.19,7.49,6,3,3.09,Employee,89.28
94.36,97.62,18.84,9.61,9,2,4.87,Employee,100.0
78.36,67.9,50.44,7.88,12,5,2.82,Employee,97.34
58.43,40.16,75.07,4.76,5,5,1.78,Team Lead,44.33
82.22,66.43,55.64,6.54,6,1,2.99,Employee,86.99
61.71,48.7,79.72,4.03,1,2,1.1,Manager,37.73
92.64,82.75,11.18,9.21,9,2,4.23,HR,100.0
66.78,58.92,73.17,5.82,2,4,1.06,HR,50.14
53.84,42.38,64.37,4.4,1,4,2.48,Team Lead,41.71
76.86,66.0,51.63,7.53,5,2,3.82,HR,91.44
85.82,81.01,23.09,8.69,9,1,4.43,Manager,100.0
86.6,99.61,7.26,8.58,14,5,4.4,HR,100.0
83.52,74.24,48.2,6.16,14,1,3.07,Team Lead,100.0
78.69,73.97,39.66,7.51,2,3,3.04,Manager,84.66
70.49,76.15,51.7,6.27,12,4,3.75,Team Lead,96.26
74.74,66.74,37.4,7.35,13,2,3.23,Employee,100.0
76.43,79.09,45.38,6.9,8,4,2.82,Employee,90.35
91.48,81.48,0.41,8.03,10,1,4.3,Employee,100.0
87.76,95.69,24.7,9.7,11,3,4.4,Team Lead,100.0
75.1,78.33,41.87,7.43,10,1,3.96,Team Lead,100.0
79.02,76.66,53.72,6.29,10,1,3.57,Team Lead,99.33
75.11,74.54,43.86,7.51,13,5,3.57,Team Lead,100.0
68.89,47.71,60.44,4.51,2,1,1.1,HR,49.5
63.5,55.92,88.84,5.83,5,4,1.49,Team Lead,53.46
82.69,67.63,31.86,7.42,2,3,3.58,Team Lead,87.63
81.36,68.16,44.62,7.39,12,2,3.64,Team Lead,100.0
55.76,55.66,63.94,5.76,9,2,2.24,Manager,71.89
89.98,93.13,27.79,9.18,4,5,4.33,Employee,100.0
77.71,66.22,54.44,6.01,9,1,2.55,Manager,87.17
73.24,74.34,32.56,6.1,3,4,3.3,Team Lead,79.1
98.97,83.89,6.4,9.41,4,2,4.58,Employee,100.0
86.2,98.77,11.71,9.58,13,3,4.36,Employee,100.0
86.87,83.7,0.89,8.44,14,5,4.3,Employee,100.0
99.13,92.08,28.18,9.58,1,4,4.36,Employee,100.0
69.32,45.67,62.22,4.85,4,1,2.32,Team Lead,60.46
90.65,81.54,18.71,9.53,11,4,4.3,Team Lead,100.0
